Study,Year,DOI_or_ID,Source_URL,Source_Access,Source_File,Inclusion_Tier,Reliability_Tier,Mn_wt,C_wt,Al_wt,Si_wt,Cu_wt,Ni_wt,Cr_wt,Mo_wt,Nb_wt,V_wt,T_anneal_C,Time_sec,RA_fraction,RA_pct,Measurement_Method,Data_Quality,Initial_Condition,Source_Ref,Extraction_Note,ML_Ready,Row_Key
luo_2011,,10.1016/j.actamat.2011.03.025,,experimental,project4_literature_validation.csv,legacy_project4,experimental_digitized,5.0,0.2,0.0,0.0,,,,0.0,0.0,,650.0,14400.0,0.22,22.0,XRD,digitized_figure,cold-rolled martensitic,"Figure 2, approximate",Acta Materialia,True,luo_2011|5.0|0.2|0.0|0.0|650.0|14400.0|0.22|xrd
luo_2011,,10.1016/j.actamat.2011.03.025,,experimental,project4_literature_validation.csv,legacy_project4,experimental_digitized,5.0,0.2,0.0,0.0,,,,0.0,0.0,,650.0,43200.0,0.3,30.0,XRD,digitized_figure,cold-rolled martensitic,"Figure 2, approximate",Acta Materialia,True,luo_2011|5.0|0.2|0.0|0.0|650.0|43200.0|0.3|xrd
pmc11173901_2024,,PMC11173901,,experimental,project4_literature_validation.csv,legacy_project4,experimental_digitized,9.4,0.2,4.3,0.0,,,,0.0,0.0,,750.0,3600.0,0.478,47.8,XRD,digitized_figure,not specified,Figure 3,Open Access (PMC),True,pmc11173901_2024|9.4|0.2|4.3|0.0|750.0|3600.0|0.478|xrd
pmc11173901_2024,,PMC11173901,,experimental,project4_literature_validation.csv,legacy_project4,experimental_digitized,9.4,0.2,4.3,0.0,,,,0.0,0.0,,800.0,3600.0,0.599,59.9,XRD,digitized_figure,not specified,"Figure 3, peak",Open Access (PMC),True,pmc11173901_2024|9.4|0.2|4.3|0.0|800.0|3600.0|0.599|xrd
pmc11173901_2024,,PMC11173901,,experimental,project4_literature_validation.csv,legacy_project4,experimental_digitized,9.4,0.2,4.3,0.0,,,,0.0,0.0,,850.0,3600.0,0.536,53.6,XRD,digitized_figure,not specified,Figure 3,Open Access (PMC),True,pmc11173901_2024|9.4|0.2|4.3|0.0|850.0|3600.0|0.536|xrd
pmc6266817_2018,,PMC6266817,,experimental,project4_literature_validation.csv,legacy_project4,experimental_digitized,5.0,0.12,1.0,0.0,,,,0.2,0.05,,600.0,1800.0,0.26,26.0,XRD,digitized_figure,cold-rolled (CR),Figure 4b (CR),Open Access (PMC),True,pmc6266817_2018|5.0|0.12|1.0|0.0|600.0|1800.0|0.26|xrd
pmc6266817_2018,,PMC6266817,,experimental,project4_literature_validation.csv,legacy_project4,experimental_digitized,5.0,0.12,1.0,0.0,,,,0.2,0.05,,625.0,1800.0,0.33,33.0,XRD,digitized_figure,cold-rolled (CR),Figure 4b (CR),Open Access (PMC),True,pmc6266817_2018|5.0|0.12|1.0|0.0|625.0|1800.0|0.33|xrd
pmc6266817_2018,,PMC6266817,,experimental,project4_literature_validation.csv,legacy_project4,experimental_digitized,5.0,0.12,1.0,0.0,,,,0.2,0.05,,675.0,1800.0,0.29,29.0,XRD,digitized_figure,cold-rolled (CR),Figure 4b (CR),Open Access (PMC),True,pmc6266817_2018|5.0|0.12|1.0|0.0|675.0|1800.0|0.29|xrd
pmc6266817_2018,,PMC6266817,,experimental,project4_literature_validation.csv,legacy_project4,experimental_digitized,5.0,0.12,1.0,0.0,,,,0.2,0.05,,700.0,1800.0,0.21,21.0,XRD,digitized_figure,cold-rolled (CR),Figure 4b (CR),Open Access (PMC),True,pmc6266817_2018|5.0|0.12|1.0|0.0|700.0|1800.0|0.21|xrd
pmc6266817_2018,,PMC6266817,,experimental,project4_literature_validation.csv,legacy_project4,experimental_digitized,5.0,0.12,1.0,0.0,,,,0.2,0.05,,750.0,1800.0,0.2,20.0,XRD,digitized_figure,cold-rolled (CR),Figure 4b (CR),Open Access (PMC),True,pmc6266817_2018|5.0|0.12|1.0|0.0|750.0|1800.0|0.2|xrd
pmc6266817_2018_HR,,PMC6266817,,experimental,project4_literature_validation.csv,legacy_project4,experimental_digitized,5.0,0.12,1.0,0.0,,,,0.2,0.05,,600.0,1800.0,0.16,16.0,XRD,digitized_figure,hot-rolled (HR),Figure 4b (HR),Open Access (PMC),True,pmc6266817_2018_hr|5.0|0.12|1.0|0.0|600.0|1800.0|0.16|xrd
pmc6266817_2018_HR,,PMC6266817,,experimental,project4_literature_validation.csv,legacy_project4,experimental_digitized,5.0,0.12,1.0,0.0,,,,0.2,0.05,,625.0,1800.0,0.19,19.0,XRD,digitized_figure,hot-rolled (HR),Figure 4b (HR),Open Access (PMC),True,pmc6266817_2018_hr|5.0|0.12|1.0|0.0|625.0|1800.0|0.19|xrd
pmc6266817_2018_HR,,PMC6266817,,experimental,project4_literature_validation.csv,legacy_project4,experimental_digitized,5.0,0.12,1.0,0.0,,,,0.2,0.05,,690.0,1800.0,0.21,21.0,XRD,digitized_figure,hot-rolled (HR),Figure 4b (HR),Open Access (PMC),True,pmc6266817_2018_hr|5.0|0.12|1.0|0.0|690.0|1800.0|0.21|xrd
demoor_2011,,10.1016/j.scriptamat.2010.09.040,,experimental,project4_literature_validation.csv,legacy_project4,experimental_digitized,7.1,0.11,0.0,0.0,,,,0.0,0.0,,600.0,60.0,0.02,2.0,XRD,digitized_figure,cold-rolled martensitic,"Figure 2, early kinetics",Scripta Materialia,True,demoor_2011|7.1|0.11|0.0|0.0|600.0|60.0|0.02|xrd
demoor_2011,,10.1016/j.scriptamat.2010.09.040,,experimental,project4_literature_validation.csv,legacy_project4,experimental_digitized,7.1,0.11,0.0,0.0,,,,0.0,0.0,,600.0,600.0,0.08,8.0,XRD,digitized_figure,cold-rolled martensitic,Figure 2,Scripta Materialia,True,demoor_2011|7.1|0.11|0.0|0.0|600.0|600.0|0.08|xrd
demoor_2011,,10.1016/j.scriptamat.2010.09.040,,experimental,project4_literature_validation.csv,legacy_project4,experimental_digitized,7.1,0.11,0.0,0.0,,,,0.0,0.0,,600.0,3600.0,0.15,15.0,XRD,digitized_figure,cold-rolled martensitic,Figure 2,Scripta Materialia,True,demoor_2011|7.1|0.11|0.0|0.0|600.0|3600.0|0.15|xrd
demoor_2011,,10.1016/j.scriptamat.2010.09.040,,experimental,project4_literature_validation.csv,legacy_project4,experimental_digitized,7.1,0.11,0.0,0.0,,,,0.0,0.0,,600.0,36000.0,0.28,28.0,XRD,digitized_figure,cold-rolled martensitic,Figure 2,Scripta Materialia,True,demoor_2011|7.1|0.11|0.0|0.0|600.0|36000.0|0.28|xrd
demoor_2011,,10.1016/j.scriptamat.2010.09.040,,experimental,project4_literature_validation.csv,legacy_project4,experimental_digitized,7.1,0.11,0.0,0.0,,,,0.0,0.0,,600.0,360000.0,0.35,35.0,XRD,digitized_figure,cold-rolled martensitic,"Figure 2, near saturation",Scripta Materialia,True,demoor_2011|7.1|0.11|0.0|0.0|600.0|360000.0|0.35|xrd
